Date : 2023-10-31 22:54:29
Directory : d:\Coding\Learn
Total : 142 files,  1032 codes, 278 comments, 115 blanks, all 1425 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\Coding\Learn\C\darkhouse\randomNum.c                                                 | C        |         -4 |          0 |         -2 |         -6 |
| d:\Coding\Learn\C\darkhouse\typeConvert.c                                               | C        |         -7 |          0 |         -1 |         -8 |
| d:\Coding\Learn\C\darkhouse\variable.c                                                  | C        |        -10 |          0 |         -4 |        -14 |
| d:\Coding\Learn\C\games\ball.c                                                          | C        |        -34 |          0 |         -2 |        -36 |
| d:\Coding\Learn\C\include\SeqList.c                                                     | C        |        -76 |         -3 |         -8 |        -87 |
| d:\Coding\Learn\C\include\SeqList.h                                                     | C++      |        -19 |          0 |         -4 |        -23 |
| d:\Coding\Learn\C\luogu\P1003.java                                                      | Java     |        -24 |          0 |         -1 |        -25 |
| d:\Coding\Learn\C\others\dataTable.c                                                    | C        |        -20 |          0 |         -3 |        -23 |
| d:\Coding\Learn\C\others\functionPointer.c                                              | C        |        -40 |        -11 |         -5 |        -56 |
| d:\Coding\Learn\C\others\maxmin.c                                                       | C        |        -24 |          0 |         -2 |        -26 |
| d:\Coding\Learn\C\others\pointerInArray.c                                               | C        |        -31 |         -6 |         -1 |        -38 |
| d:\Coding\Learn\C\others\structPointer.c                                                | C        |        -15 |          0 |         -1 |        -16 |
| d:\Coding\Learn\C\test.c                                                                | C        |        -12 |          0 |         -1 |        -13 |
| d:\Coding\Learn\C\test.cpp                                                              | C++      |        -17 |          0 |         -1 |        -18 |
| d:\Coding\Learn\Java\JavaWeb\HTML\XLNewsWebsite\index.html                              | HTML     |        -61 |          0 |         -3 |        -64 |
| d:\Coding\Learn\Java\JavaWeb\HTML\input.html                                            | HTML     |        -38 |          0 |         -1 |        -39 |
| d:\Coding\Learn\Java\JavaWeb\HTML\jsLearn.html                                          | HTML     |        -33 |          0 |         -4 |        -37 |
| d:\Coding\Learn\Java\JavaWeb\HTML\table.html                                            | HTML     |        -33 |          0 |         -1 |        -34 |
| d:\Coding\Learn\Java\JavaWeb\HTML\vue.js\vue1.html                                      | HTML     |        -24 |          0 |          0 |        -24 |
| d:\Coding\Learn\Java\JavaWeb\HTML\window.html                                           | HTML     |        -47 |          0 |         -2 |        -49 |
| d:\Coding\Learn\Java\Main.java                                                          | Java     |        -13 |          0 |          0 |        -13 |
| d:\Coding\Learn\Java\basic_syntax\data types and operators\AutoTypeConversionDemo1.java | Java     |         26 |          3 |          5 |         34 |
| d:\Coding\Learn\Java\basic_syntax\data types and operators\Operator.java                | Java     |         27 |         16 |          8 |         51 |
| d:\Coding\Learn\Java\basic_syntax\data types and operators\ScannerDemo.java             | Java     |         12 |          0 |          2 |         14 |
| d:\Coding\Learn\Java\basic_syntax\data types and operators\TypeConversionDemo1.java     | Java     |         16 |          4 |          6 |         26 |
| d:\Coding\Learn\Java\basic_syntax\data types and operators\TypeDemo.java                | Java     |         24 |          0 |          7 |         31 |
| d:\Coding\Learn\Java\basic_syntax\flow control\IfDemo.java                              | Java     |         14 |          8 |          5 |         27 |
| d:\Coding\Learn\Java\basic_syntax\flow control\Loop.java                                | Java     |         20 |          9 |          4 |         33 |
| d:\Coding\Learn\Java\basic_syntax\flow control\RandomNum2.java                          | Java     |         22 |          0 |          2 |         24 |
| d:\Coding\Learn\Java\basic_syntax\flow control\RanomNum.java                            | Java     |         10 |          1 |          2 |         13 |
| d:\Coding\Learn\Java\basic_syntax\flow control\SwitchCase.java                          | Java     |         13 |         10 |          5 |         28 |
| d:\Coding\Learn\Java\java_advanced\NetworkProgram\BS\Server.java                        | Java     |        -40 |         -6 |         -3 |        -49 |
| d:\Coding\Learn\Web\OnlineBookShop\index.html                                           | HTML     |         15 |          0 |          0 |         15 |
| Total                                                                                   |          |      1,032 |        278 |        115 |      1,425 |
+-----------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
